Symptom,Description,English_Symptoms
Krimiroga,Worm infestations.,"Abdominal Pain, Diarrhea, Constipation, Nausea Vomiting, Weight Loss"
Hritshula,Chest pain.,"Chest Pain, Radiation of Pain, Breathlessness, Palpitations, Sweating"
Vriddhiroga,Aging-related diseases.,"Pain Discomf t, Swelling, Change in Skin Col , Restricted Movement"
Sandhigatvata,Joint disorders due to Vata dosha.,"Joint Pain, Stiffness, Cracking Popping Sounds, Reduced Range of Motion, Tingling Numbness"
Sutikavata,Postpartum Vata disorders.,"Body Aches, Fatigue, Trembling Shivering, Dryness, Constipation"
Katigraha,Lumbago.,"Stiffness, Reduced Flexibility, Muscle Weakness, Difficulty Sting Sitting f Prolonged Periods"
Visuchika,Dysentery.,"Watery Diarrhea, Vomiting, Dehydration, Rapid Heart Rate, Muscle Cramps"
Mutrashmari,Kidney stones.,"Painful Urination, Frequent Urination, Hematuria, Straining to Urinate"
Murchha,Syncope.,"Sudden Loss of Consciousness, Pale Ashen Skin Tone, Cold Sweating, Shallow Breathing, Low Blood Pressure"
Rasayana,Rejuvenation.,"Enhanced Immunity, Increased Vitality, Improved Mem y Cognitive Function, Detoxification"
Hriddaurbalya,Heart weakness.,"Fatigue, Breathlessness, Palpitations, Chest Discomf t"
Paktishula,Colicky pain due to digestion.,"Pain in the Upper Abdomen, Bloating Fullness, Discomf t during Eating, Indigestion"
Bahushosha,Severe emaciation.,"Significant Weight Loss, Muscle Atrophy, Fatigue Weakness, Prominent Bones"
Mutrasthila,Urinary retention.,"Painful Urination, Foul-Smelling Urine, Frequent Urination, Fever Chills"
Shitapitta,Urticaria.,"Itching, Sensitivity to Touch, Burning Sensation, Swelling"
Aptantrak,Snakebite.,"pain, swelling, puncture marks, nausea, vomiting, weakness, dizziness, difficulty breathing, changes in heart rate blood pressure, blurred vision, difficulty speaking, tingling numbness, paralysis"
Arsha,Hemorrhoids.,"Pain Discomf t, Bleeding, Swelling, Burning Sensation, Itching"
Jvaratisara,Febrile dysentery.,"Fever, Loose Stools Diarrhea, Abdominal Discomf t, Dehydration"
Ardita,Facial paralysis.,"Facial Drooping, Inability to Close the Eye, Speech Difficulties, Reduced Sense of Taste"
Kanduvisphota,Itching and eruptions.,"Itching, Burning Sensation, Eruption of Vesicles, Redness"
Pinasa,Sinusitis.,"Nasal Congestion, Headache, Nasal Discharge, Reduced Sense of Smell"
Galaganda,Goiter.,"Swelling in the Neck, Difficulty Swallowing, Breathing Difficulties, Throat Discomf t, Coughing"
Asrigdara,Menorrhagia.,"Heavy Menstrual Flow, Prolonged Menstrual Periods, Frequent Menstrual Cycles, Intermenstrual Bleeding"
Pittajanetraroga,Urinary disorders due to Pitta dosha.,"Tearing, Burning Sensation, Redness, Blurred Vision, Headache"
Mutraroga,Urinary disorders.,"Painful Urination, Frequent Urination, Difficulty Initiating Urination, Burning Sensation"
Kshaya,Debility.,"Weight Loss, Fatigue, Reduced Immunity, Pale Dull Skin, Hair Nail Changes"
